Type.of.Travel,Airline.Status,Gender,Age,LTR
Business travel,Blue,Male,20,8
Personal Travel,Blue,Male,80,6
Business travel,Silver,Female,44,8
Business travel,Blue,Male,15,8
Personal Travel,Blue,Female,67,6
Personal Travel,Blue,Male,54,7
Business travel,Blue,Female,40,9
Business travel,Blue,Male,38,8
Business travel,Blue,Male,38,8
Personal Travel,Silver,Female,80,8
Personal Travel,Silver,Female,57,9
Business travel,Blue,Male,48,10
Business travel,Blue,Female,25,9
Business travel,Blue,Male,50,9
Business travel,Gold,Female,34,10
Business travel,Silver,Female,32,9
Personal Travel,Blue,Female,52,8
Personal Travel,Blue,Female,38,5
Business travel,Blue,Female,44,8
Personal Travel,Blue,Female,37,5
Mileage tickets,Blue,Male,41,10
Business travel,Silver,Male,28,9
Personal Travel,Blue,Male,74,8
Business travel,Blue,Male,28,8
Personal Travel,Blue,Male,80,6
Business travel,Gold,Female,40,9
Business travel,Blue,Female,35,8
Personal Travel,Blue,Female,34,7
Personal Travel,Gold,Female,79,6
Business travel,Blue,Female,50,9
Personal Travel,Gold,Female,72,6
Business travel,Silver,Male,56,9
Business travel,Blue,Male,38,8
Business travel,Blue,Male,38,9
Personal Travel,Blue,Female,41,6
Personal Travel,Blue,Male,66,5
Business travel,Blue,Female,19,8
Personal Travel,Blue,Male,42,5
Personal Travel,Platinum,Female,41,7
Business travel,Blue,Male,30,8
Personal Travel,Blue,Male,17,7
Personal Travel,Blue,Male,17,7
Business travel,Blue,Male,37,8
Personal Travel,Blue,Female,68,8
Business travel,Blue,Female,39,8
Business travel,Silver,Female,42,9
Personal Travel,Gold,Female,80,8
Business travel,Blue,Female,55,8
Business travel,Gold,Female,30,8
Personal Travel,Blue,Male,72,8
Business travel,Blue,Male,31,8
Mileage tickets,Blue,Female,52,10
Personal Travel,Silver,Female,62,8
Business travel,Gold,Male,70,8
Personal Travel,Blue,Male,18,5
Personal Travel,Blue,Male,77,8
Business travel,Silver,Female,27,9
Business travel,Silver,Male,47,10
Personal Travel,Blue,Female,21,8
Business travel,Gold,Female,26,8
Business travel,Blue,Female,59,10
Mileage tickets,Blue,Female,49,8
Business travel,Blue,Female,50,7
Personal Travel,Blue,Female,79,7
Business travel,Silver,Female,50,8
Mileage tickets,Blue,Male,53,8
Business travel,Silver,Female,33,8
Business travel,Silver,Female,49,10
Mileage tickets,Blue,Male,70,8
Business travel,Blue,Female,54,9
Business travel,Blue,Female,39,9
Personal Travel,Blue,Male,69,6
Business travel,Silver,Male,34,10
Personal Travel,Blue,Female,61,7
Business travel,Blue,Male,57,9
Business travel,Blue,Female,17,6
Personal Travel,Blue,Female,15,7
Personal Travel,Blue,Male,59,8
Business travel,Blue,Female,42,8
Personal Travel,Blue,Female,77,8
Business travel,Blue,Female,39,5
Business travel,Gold,Male,48,9
Business travel,Silver,Male,42,9
Business travel,Blue,Male,42,8
Personal Travel,Blue,Female,80,5
Business travel,Blue,Male,15,8
Business travel,Silver,Female,42,10
Business travel,Blue,Male,41,10
Personal Travel,Blue,Female,69,7
Personal Travel,Blue,Female,61,8
Personal Travel,Blue,Male,73,6
Business travel,Blue,Female,43,10
Business travel,Platinum,Male,46,10
Mileage tickets,Blue,Female,80,9
Business travel,Blue,Male,45,9
Personal Travel,Blue,Female,64,6
Personal Travel,Silver,Female,73,8
Business travel,Gold,Female,28,9
Business travel,Platinum,Male,33,9
Business travel,Blue,Female,37,10
Mileage tickets,Blue,Female,58,8
Personal Travel,Blue,Female,35,6
Mileage tickets,Blue,Male,17,8
Business travel,Blue,Female,55,8
Personal Travel,Blue,Male,80,7
Mileage tickets,Blue,Female,28,8
Business travel,Blue,Female,32,9
Business travel,Blue,Male,42,8
Business travel,Gold,Female,50,8
Personal Travel,Blue,Female,85,8
Personal Travel,Blue,Male,80,5
Business travel,Gold,Male,48,10
Personal Travel,Blue,Female,60,6
Business travel,Silver,Female,39,9
Business travel,Platinum,Male,67,10
Personal Travel,Blue,Male,17,6
Business travel,Blue,Male,67,9
Personal Travel,Blue,Male,71,6
Business travel,Silver,Male,28,9
Business travel,Gold,Male,41,9
